# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |  astCat|mag  |band
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T20:15:19.872Z|352.41521  | +7.75528  |   UCAC2|16.7 |   R
2008 TC3   | K08T03C| CCD|046 |    |2008-10-06T20:15:52.704Z|352.26308  | +7.68581  |  USNOB1|     |    
2008 TC3   | K08T03C| CCD|046 |    |2008-10-06T20:17:49.344Z|352.27029  | +7.68642  |  USNOB1|     |    
2008 TC3   | K08T03C| CCD|J75 |    |2008-10-06T20:18:16.128Z|352.82071  | +7.99192  |  USNOB1|17.6 |   V
2008 TC3   | K08T03C| CCD|046 |    |2008-10-06T20:18:42.912Z|352.27371  | +7.68669  |  USNOB1|     |    
2008 TC3   | K08T03C| CCD|046 |    |2008-10-06T20:19:34.752Z|352.27679  | +7.68694  |  USNOB1|     |    
2008 TC3   | K08T03C| CCD|046 |    |2008-10-06T20:20:13.632Z|352.27929  | +7.68725  |  USNOB1|     |    
2008 TC3   | K08T03C| CCD|473 |    |2008-10-06T20:21:17.568Z|352.33167  | +7.76864  |   UCAC2|16.6 |   R
2008 TC3   | K08T03C| CCD|213 |    |2008-10-06T20:22:04.224Z|352.66592  | +7.894    |   CMC14|17.1 |   R
2008 TC3   | K08T03C| CCD|620 |    |2008-10-06T20:22:16.320Z|352.67517  | +7.95544  |   UCAC2|16.7 |   V
2008 TC3   | K08T03C| CCD|213 |    |2008-10-06T20:24:07.776Z|352.67521  | +7.89614  |   CMC14|16.4 |   R
2008 TC3   | K08T03C| CCD|J75 |    |2008-10-06T20:24:31.968Z|352.85175  | +8.00072  |  USNOB1|17.6 |   V
2008 TC3   | K08T03C| CCD|473 |    |2008-10-06T20:27:19.584Z|352.35358  | +7.77189  |   UCAC2|16.5 |   R
2008 TC3   | K08T03C| CCD|046 |    |2008-10-06T20:29:46.464Z|352.31608  | +7.68994  |  USNOB1|     |    
2008 TC3   | K08T03C| CCD|046 |    |2008-10-06T20:30:40.896Z|352.31954  | +7.69031  |  USNOB1|     |    
2008 TC3   | K08T03C| CCD|620 |    |2008-10-06T20:31:13.728Z|352.71408  | +7.96631  |   UCAC2|16.7 |   V
2008 TC3   | K08T03C| CCD|046 |    |2008-10-06T20:33:21.600Z|352.33004  | +7.69111  |  USNOB1|     |    
2008 TC3   | K08T03C| CCD|J75 |    |2008-10-06T20:33:45.792Z|352.89754  | +8.01389  |  USNOB1|17.2 |   V
2008 TC3   | K08T03C| CCD|046 |    |2008-10-06T20:34:07.392Z|352.33321  | +7.69122  |  USNOB1|     |    
2008 TC3   | K08T03C| CCD|473 |    |2008-10-06T20:34:18.624Z|352.37954  | +7.77553  |   UCAC2|16.3 |   R
2008 TC3   | K08T03C| CCD|213 |    |2008-10-06T20:34:53.184Z|352.72425  | +7.90731  |   CMC14|16.3 |   R
2008 TC3   | K08T03C| CCD|620 |    |2008-10-06T20:35:55.392Z|352.73462  | +7.97206  |   UCAC2|16.5 |   V
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T20:40:21.504Z|352.519    | +7.76964  |   UCAC2|16.7 |   R
2008 TC3   | K08T03C| CCD|J75 |    |2008-10-06T20:44:47.616Z|352.95362  | +8.02994  |  USNOB1|17   |   V
2008 TC3   | K08T03C| CCD|620 |    |2008-10-06T20:45:21.312Z|352.77625  | +7.98369  |   UCAC2|16.3 |   V
2008 TC3   | K08T03C| CCD|213 |    |2008-10-06T20:45:23.904Z|352.77317  | +7.9185   |   CMC14|16.6 |   R
2008 TC3   | K08T03C| CCD|198 |    |2008-10-06T20:47:35.232Z|352.53717  | +7.6975   |  USNOB1|17.5 |   V
2008 TC3   | K08T03C| CCD|198 |    |2008-10-06T20:48:28.800Z|352.54133  | +7.69778  |  USNOB1|17.5 |   V
2008 TC3   | K08T03C| CCD|198 |    |2008-10-06T20:51:04.320Z|352.55325  | +7.69861  |  USNOB1|17.6 |   V
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T20:51:28.512Z|352.56742  | +7.77572  |   UCAC2|16.5 |   R
2008 TC3   | K08T03C| CCD|213 |    |2008-10-06T20:52:01.344Z|352.80471  | +7.92561  |   CMC14|16.1 |   R
2008 TC3   | K08T03C| CCD|198 |    |2008-10-06T20:53:51.936Z|352.56692  | +7.6995   |  USNOB1|17.3 |   V
2008 TC3   | K08T03C| CCD|620 |    |2008-10-06T20:54:49.824Z|352.81933  | +7.99561  |   UCAC2|16.1 |   V
2008 TC3   | K08T03C| CCD|213 |    |2008-10-06T20:56:33.504Z|352.82642  | +7.93028  |   CMC14|16.3 |   R
2008 TC3   | K08T03C| CCD|J75 |    |2008-10-06T21:00:16.416Z|353.03421  | +8.05311  |  USNOB1|16.9 |   V
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T21:00:59.616Z|352.61037  | +7.78075  |   UCAC2|16.7 |   R
2008 TC3   | K08T03C| CCD|213 |    |2008-10-06T21:02:30.336Z|352.85567  | +7.93694  |   CMC14|16.3 |   R
2008 TC3   | K08T03C| CCD|213 |    |2008-10-06T21:04:48.576Z|352.86708  | +7.93933  |   CMC14|16.1 |   R
2008 TC3   | K08T03C| CCD|084 |  01|2008-10-06T21:05:57.178Z|352.07633  | +7.37447  |     UNK|16.2 |   R
2008 TC3   | K08T03C| CCD|084 |  01|2008-10-06T21:08:16.368Z|352.08875  | +7.37228  |     UNK|15.7 |   R
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:08:32.352Z|353.53667  | +8.38719  |  USNOA2|16.1 |   C
2008 TC3   | K08T03C| CCD|620 |    |2008-10-06T21:08:35.808Z|352.88387  | +8.01308  |   UCAC2|16.1 |   V
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:09:12.960Z|353.54125  | +8.38906  |  USNOA2|16.1 |   C
2008 TC3   | K08T03C| CCD|235 |    |2008-10-06T21:10:31.584Z|352.53179  | +7.79828  |   UCAC2|16.1 |   R
2008 TC3   | K08T03C| CCD|J75 |    |2008-10-06T21:10:33.312Z|353.0895   | +8.06889  |  USNOB1|16.9 |   V
2008 TC3   | K08T03C| CCD|084 |  01|2008-10-06T21:12:56.995Z|352.11279  | +7.36786  |     UNK|16.3 |   R
