# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA |rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                      
2026 FQ12  | C464WC1| CMO|R45 |    |2026-03-28T22:29:50.496Z|181.35788  |-11.48464  |      |      |       |  ATLAS2|17.4 |      |   V|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CMO|Y76 |    |2026-03-28T22:34:48.576Z|181.34917  |-11.50353  |      |      |       |  ATLAS2|18.4 |      |   V|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CMO|Y76 |    |2026-03-28T22:38:58.272Z|181.35092  |-11.52233  |      |      |       |  ATLAS2|18.7 |      |   V|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CMO|R45 |    |2026-03-28T22:46:26.688Z|181.36533  |-11.55928  |      |      |       |  ATLAS2|18.3 |      |   V|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CMO|R45 |    |2026-03-28T23:03:09.792Z|181.37288  |-11.63383  |      |      |       |  ATLAS2|18   |      |   V|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CMO|R45 |    |2026-03-28T23:20:24.000Z|181.38038  |-11.71064  |      |      |       |  ATLAS2|17.9 |      |   V|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CMO|R45 |    |2026-03-28T23:37:30.432Z|181.38754  |-11.78644  |      |      |       |  ATLAS2|18.6 |      |   V|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CMO|W05 |    |2026-03-29T02:20:04.000Z|181.60332  |-12.45271  |0.48  |0.43  |       |  ATLAS2|18.4 |0.33  |  Vj|  ATLAS2| 7.5  |0.93  | 300|0.65  |K    |                             
2026 FQ12  | C464WC1| CMO|W05 |    |2026-03-29T02:26:44.000Z|181.6064   |-12.48033  |0.33  |0.3   |       |  ATLAS2|18.3 |0.38  |  Vj|  ATLAS2| 7.5  |0.93  | 300|0.44  |K    |                             
2026 FQ12  | C464WC1| CMO|W05 |    |2026-03-29T02:33:16.000Z|181.60933  |-12.50747  |0.32  |0.37  |       |  ATLAS2|19   |0.14  |  Vj|  ATLAS2| 7.5  |0.92  | 300|0.49  |K    |                             
2026 FQ12  | C464WC1| CCD|H21 |    |2026-03-29T03:52:40.512Z|181.63567  |-12.84222  |      |      |       |   Gaia2|18.3 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|H21 |    |2026-03-29T03:55:27.264Z|181.63675  |-12.85342  |      |      |       |   Gaia2|18.3 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|H21 |    |2026-03-29T03:58:14.016Z|181.63775  |-12.8645   |      |      |       |   Gaia2|18.4 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|H21 |    |2026-03-29T04:01:00.768Z|181.63879  |-12.8755   |      |      |       |   Gaia2|18.4 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | A11zq11| CCD|W68 |  00|2026-03-29T04:16:31.590Z|181.61312  |-12.79038  |0.59  |0.59  |       |   Gaia2|18.26|0.135 |  Ao|        |      |0.87  |    |      |     |atlas_W68/T5075811/D525176052
2026 FQ12  | A11zq11| CCD|W68 |  00|2026-03-29T04:21:12.340Z|181.61436  |-12.80819  |0.665 |1.095 |-0.054 |   Gaia2|18.42|0.158 |  Ao|        |      |0.801 |    |      |     |atlas_W68/T5075811/D525177890
