# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|logSNR| exp|rmsFit|remarks                                             
  84100|           | 6K03B11| CCD|703 |       |    |          |          |          |    |2006-05-26T10:08:16.224Z|309.56817  |-12.77119  |     |      |       |   UCAC2|20.1 |      |   V|        |      |    |      |                                                    
  84100|           | 6K80DE5| CCD|G96 |       |    |          |          |          |    |2006-05-30T09:13:09.696Z|309.96675  |-12.6305   |     |      |       |   UCAC2|20   |      |   V|        |      |    |      |                                                    
  84100|           | 6K80DE5| CCD|G96 |       |    |          |          |          |    |2006-05-30T09:21:13.536Z|309.96717  |-12.63033  |     |      |       |   UCAC2|19.9 |      |   V|        |      |    |      |                                                    
  84100|           | 6K80DE5| CCD|G96 |       |    |          |          |          |    |2006-05-30T09:29:17.376Z|309.9675   |-12.63017  |     |      |       |   UCAC2|19.9 |      |   V|        |      |    |      |                                                    
  84100|           | N0KN1B9| CCD|644 |       |    |          |          |          |    |2006-08-11T03:59:04.992Z|301.94317  |-15.96589  |     |      |       |  USNOB1|17.9 |      |   R|        |      |    |      |                                                    
  84100|           | N0KN1B9| CCD|644 |       |    |          |          |          |    |2006-08-11T04:34:44.256Z|301.93838  |-15.96833  |     |      |       |  USNOB1|17.9 |      |   R|        |      |    |      |                                                    
  84100|           | N0KN1B9| CCD|644 |       |    |          |          |          |    |2006-08-11T05:04:40.512Z|301.93437  |-15.97033  |     |      |       |  USNOB1|17.9 |      |   R|        |      |    |      |                                                    
  84100|           | N3EONCB| CCD|644 |       |    |          |          |          |    |2006-08-15T03:49:07.968Z|301.23875  |-16.34322  |     |      |       |  USNOB1|18   |      |   R|        |      |    |      |                                                    
  84100|           | N3EONCB| CCD|644 |       |    |          |          |          |    |2006-08-15T04:24:42.912Z|301.23446  |-16.34558  |     |      |       |  USNOB1|18.7 |      |   R|        |      |    |      |                                                    
  84100|           | N3EONCB| CCD|644 |       |    |          |          |          |    |2006-08-15T04:53:54.240Z|301.23096  |-16.3475   |     |      |       |  USNOB1|18.8 |      |   R|        |      |    |      |                                                    
  84100|           | N9S9ZA5| CCD|644 |       |    |          |          |          |    |2006-08-24T03:26:29.760Z|299.9625   |-17.14533  |     |      |       |  USNOB1|18.7 |      |   R|        |      |    |      |                                                    
  84100|           | N9S9ZA5| CCD|644 |       |    |          |          |          |    |2006-08-24T03:56:25.152Z|299.96     |-17.14711  |     |      |       |  USNOB1|18.8 |      |   R|        |      |    |      |                                                    
  84100|           | N9S9ZA5| CCD|644 |       |    |          |          |          |    |2006-08-24T04:25:44.256Z|299.95742  |-17.14872  |     |      |       |  USNOB1|18.6 |      |   R|        |      |    |      |                                                    
  84100|           | AZ70432| CCD|704 |       |    |          |          |          |    |2006-08-29T03:18:05.184Z|299.48     |-17.54969  |     |      |       |  USNOA2|18.5 |      |   V|        |      |    |      |                                                    
