# version=2017
 permID|provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |  astCat|mag  |band|notes
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-15T12:02:05.280Z|203.76613  |+62.90761  |  USNOB1|     |    |K    
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-15T12:10:41.952Z|203.75888  |+62.9065   |  USNOB1|20.7 |   R|     
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-15T12:21:29.088Z|203.75233  |+62.90719  |  USNOB1|21   |   R|     
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-15T12:29:04.416Z|203.74796  |+62.90767  |  USNOB1|20.9 |   R|     
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-16T12:07:21.504Z|203.09846  |+63.07061  |  USNOB1|     |    |H    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-16T12:12:32.544Z|203.09537  |+63.07083  |  USNOB1|     |    |H    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-16T12:17:42.720Z|203.09238  |+63.07097  |  USNOB1|     |    |H    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-16T12:24:18.432Z|203.08779  |+63.07156  |  USNOB1|     |    |H    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-16T12:29:29.472Z|203.085    |+63.07158  |  USNOB1|     |    |H    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-16T12:34:40.512Z|203.08175  |+63.07181  |  USNOB1|     |    |H    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-23T11:14:02.112Z|198.841    |+63.47156  |  USNOB1|     |    |K    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-23T11:22:05.088Z|198.83675  |+63.47108  |  USNOB1|     |    |K    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-23T11:30:06.336Z|198.83271  |+63.47067  |  USNOB1|     |    |K    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-24T11:36:25.632Z|198.27746  |+63.43794  |  USNOB1|     |    |K    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-24T11:43:17.760Z|198.27429  |+63.43744  |  USNOB1|     |    |K    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-24T11:50:09.024Z|198.27104  |+63.43686  |  USNOB1|     |    |K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-29T06:50:05.770Z|195.89921  |+63.0365   |  USNOB1|22.6 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-29T07:01:02.410Z|195.89467  |+63.03547  |  USNOB1|22.1 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-29T07:13:03.245Z|195.88913  |+63.03439  |  USNOB1|22   |   V|K    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-31T10:05:05.280Z|194.95596  |+62.74122  |  USNOB1|21.5 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-31T10:21:07.776Z|194.94962  |+62.73892  |  USNOB1|21.6 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-03-31T10:37:10.272Z|194.94317  |+62.73675  |  USNOB1|21.6 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-04-12T04:42:11.290Z|191.34433  |+60.16556  |  USNOB1|23.1 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-04-12T05:08:53.578Z|191.33779  |+60.16067  |  USNOB1|22.8 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-04-12T05:36:11.981Z|191.33117  |+60.15525  |  USNOB1|     |    |K    
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-04-17T07:46:06.816Z|190.44842  |+58.64467  |  USNOB1|22.3 |   R|     
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-04-17T07:54:38.304Z|190.44692  |+58.64261  |  USNOB1|22.3 |   R|     
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-04-17T08:05:54.816Z|190.44508  |+58.63992  |  USNOB1|22.7 |   R|     
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-04-17T08:33:57.024Z|190.44038  |+58.63317  |  USNOB1|22.6 |   R|     
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-04-18T08:57:43.488Z|190.31129  |+58.30642  |  USNOB1|22.2 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-04-18T09:23:30.912Z|190.30742  |+58.30006  |  USNOB1|     |    |K    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-04-18T09:49:17.472Z|190.30392  |+58.29339  |  USNOB1|22.3 |   R|K    
