# version=2017
 permID|  trkSub|mode|stn |sys    | ctr|pos1       |pos2       |pos3       |prog|obsTime                 | ra        |dec        |rmsRA |rmsDec|rmsCorr|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                            
     2P|        | UNK|323 |       |    |           |           |           |    |1984-04-26T21:22:00.192Z|352.92254  |-15.55878  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|323 |       |    |           |           |           |    |1984-04-27T21:24:29.664Z|352.68287  |-15.72972  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|323 |       |    |           |           |           |    |1984-05-02T21:04:29.568Z|351.71029  |-16.43339  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|323 |       |    |           |           |           |    |1984-05-03T21:09:59.616Z|351.54542  |-16.55492  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|   ENCKE| PHO|474 |       |    |           |           |           |    |1984-05-26T18:17:28.896Z|347.93767  |-19.07661  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|   ENCKE| PHO|474 |       |    |           |           |           |    |1984-05-30T16:22:41.088Z|347.0195   |-19.62353  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|   ENCKE| PHO|474 |       |    |           |           |           |    |1984-05-30T17:00:00.576Z|347.01367  |-19.62714  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|323 |       |    |           |           |           |    |1984-06-06T21:14:44.736Z|344.89154  |-20.78289  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|474 |       |    |           |           |           |    |1984-07-25T12:26:40.128Z|314.71779  |-29.29719  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|474 |       |    |           |           |           |    |1984-07-25T13:29:09.888Z|314.6865   |-29.29994  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|691 |       |    |           |           |           |    |1985-07-26T09:19:27.264Z|346.08304  | -5.84061  |      |      |       |     UNK|19.8  |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|691 |       |    |           |           |           |    |1985-07-26T09:35:39.264Z|346.08083  | -5.84133  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|691 |       |    |           |           |           |    |1985-07-26T10:02:47.040Z|346.07763  | -5.84256  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|675 |       |    |           |           |           |    |1985-07-28T10:22:23.808Z|345.72913  | -5.95844  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|675 |       |    |           |           |           |    |1985-07-28T10:27:47.808Z|345.7285   | -5.95869  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|675 |       |    |           |           |           |    |1985-07-29T11:04:30.144Z|345.54479  | -6.02042  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|675 |       |    |           |           |           |    |1985-07-29T11:10:14.880Z|345.544    | -6.02069  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|691 |       |    |           |           |           |    |1985-08-15T06:14:06.720Z|342.02225  | -7.21939  |      |      |       |     UNK|19.2  |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|691 |       |    |           |           |           |    |1985-08-15T06:37:47.136Z|342.01892  | -7.22069  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|691 |       |    |           |           |           |    |1985-08-15T07:00:57.312Z|342.01488  | -7.22194  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|691 |       |    |           |           |           |    |1986-08-31T07:17:05.856Z|359.36512  | +5.98392  |      |      |       |     UNK|19.5  |      |   B|        |      |      |    |      |     |                                                   
