# version=2017
 permID|  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA   |rmsDec  |rmsCorr|  astCat|mag  |rmsMag  |band| photCat|photAp|logSNR| exp|rmsFit|notes
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-16T23:12:48.672Z| 76.55758  |+15.71733  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-16T23:17:47.616Z| 76.5575   |+15.71717  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-16T23:22:46.560Z| 76.55733  |+15.71731  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-16T23:27:45.504Z| 76.55721  |+15.71711  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|089 |       |    |          |          |          |    |1972-10-17T01:55:05.261Z| 76.553079 |+15.715903 |        |        |       |  GSCACT|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|089 |       |    |          |          |          |    |1972-10-17T02:11:02.659Z| 76.552525 |+15.715667 |        |        |       |  GSCACT|     |        |    |        |      |      |    |      |     
      4|        | UNK|020 |       |    |          |          |          |    |1972-10-18T04:12:19.008Z| 76.51287  |+15.69931  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|020 |       |    |          |          |          |    |1972-10-18T04:13:48.000Z| 76.51279  |+15.69933  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|020 |       |    |          |          |          |    |1972-10-18T04:15:17.856Z| 76.51287  |+15.69925  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-19T01:09:08.064Z| 76.47517  |+15.68597  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-19T01:14:07.008Z| 76.47517  |+15.68592  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-19T01:19:05.952Z| 76.47508  |+15.68603  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-19T01:24:04.896Z| 76.47462  |+15.68597  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-20T23:11:39.552Z| 76.37054  |+15.65667  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-20T23:15:08.640Z| 76.37067  |+15.65664  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-20T23:25:36.768Z| 76.37004  |+15.65639  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-20T23:32:35.808Z| 76.36971  |+15.65631  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-10-23T20:27:46.368Z| 76.16012  |+15.61175  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-10-23T20:32:45.312Z| 76.15979  |+15.61172  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-10-23T20:41:44.448Z| 76.15933  |+15.61156  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-10-24T21:52:36.192Z| 76.06592  |+15.59544  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-10-24T22:04:34.176Z| 76.06675  |+15.59556  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-26T00:14:41.280Z| 75.96108  |+15.57744  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-26T00:42:37.440Z| 75.95904  |+15.57736  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-26T00:49:35.616Z| 75.95812  |+15.5775   |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-26T00:56:34.656Z| 75.95775  |+15.57714  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-10-28T20:41:59.136Z| 75.64363  |+15.53375  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-10-28T20:47:57.696Z| 75.64312  |+15.53369  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-10-28T20:57:56.448Z| 75.64225  |+15.53356  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-11-01T22:00:59.040Z| 75.08742  |+15.47192  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-11-01T22:07:58.080Z| 75.08654  |+15.47186  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-11-01T23:12:14.976Z| 75.07992  |+15.47133  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-11-01T23:25:13.440Z| 75.07875  |+15.47122  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-11-01T23:31:42.240Z| 75.07808  |+15.47106  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-11-01T23:38:11.040Z| 75.07738  |+15.47122  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-11-03T21:45:08.640Z| 74.77117  |+15.44256  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-11-03T21:53:07.296Z| 74.77017  |+15.44242  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
