# version=2017
 permID|  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                                                 
    46P|        | CCD|809 |       |    |          |          |          |    |1996-09-10T03:29:24.288Z|318.12429  |-33.66431  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-09-10T05:40:30.144Z|318.09812  |-33.66861  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-09-11T04:24:48.096Z|317.83617  |-33.71258  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-09-11T05:48:23.616Z|317.81967  |-33.71494  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-09-12T01:10:07.680Z|317.60321  |-33.74881  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-09-12T06:02:19.104Z|317.54692  |-33.75664  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-09-13T01:23:00.096Z|317.33475  |-33.78675  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-09-13T04:03:39.744Z|317.30567  |-33.79061  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-09-14T01:30:59.616Z|317.07558  |-33.81956  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-09-14T06:13:34.752Z|317.02508  |-33.82481  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-09-15T02:29:30.048Z|316.81479  |-33.84833  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-09-15T07:01:48.288Z|316.76779  |-33.85236  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-09-16T01:41:00.096Z|316.58129  |-33.8705   |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-09-16T06:14:17.952Z|316.53487  |-33.87397  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-09-17T05:53:04.416Z|316.30512  |-33.89125  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|696 |       |    |          |          |          |    |1996-09-19T04:15:11.808Z|315.87921  |-33.91392  |     |      |     UNK|18.8  |      |   R|        |      |      |    |      |     |                                                                        
    46P|        | CCD|696 |       |    |          |          |          |    |1996-09-19T04:20:57.408Z|315.87838  |-33.91394  |     |      |     UNK|18.8  |      |   R|        |      |      |    |      |     |                                                                        
    46P|        | CCD|696 |       |    |          |          |          |    |1996-09-19T04:27:26.208Z|315.87729  |-33.914    |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|711 |       |    |          |          |          |    |1996-09-19T04:57:48.384Z|315.87088  |-33.91433  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|711 |       |    |          |          |          |    |1996-09-19T05:17:17.376Z|315.86812  |-33.91433  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|711 |       |    |          |          |          |    |1996-09-20T04:44:59.424Z|315.6645   |-33.91822  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|711 |       |    |          |          |          |    |1996-09-20T05:04:01.632Z|315.66179  |-33.91828  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|711 |       |    |          |          |          |    |1996-09-21T05:10:27.840Z|315.46108  |-33.91786  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|711 |       |    |          |          |          |    |1996-09-21T05:29:24.000Z|315.45837  |-33.91775  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|711 |       |    |          |          |          |    |1996-09-22T04:25:23.520Z|315.27638  |-33.91322  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
