# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA |rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes
2026 FO12  | ST26CB5| CCD|G96 |  01|2026-03-27T06:52:50.041Z|205.091685 |+20.42415  |0.772 |0.795 | 0     |   Gaia2|21   |0.407 |   G|   Gaia2|      |0.487 |    |0.086 |     
2026 FO12  | ST26CB5| CCD|G96 |  01|2026-03-27T07:00:17.555Z|205.091475 |+20.45579  |0.216 |0.225 | 0     |   Gaia2|19.57|0.297 |   G|   Gaia2|      |0.853 |    |0.087 |     
2026 FO12  | ST26CB5| CCD|G96 |  01|2026-03-27T07:07:44.156Z|205.091295 |+20.48709  |0.259 |0.27  | 0     |   Gaia2|19.85|0.305 |   G|   Gaia2|      |0.797 |    |0.087 |     
2026 FO12  | ST26CB5| CCD|G96 |  01|2026-03-27T07:15:11.005Z|205.091175 |+20.51825  |0.269 |0.279 | 0     |   Gaia2|19.61|0.298 |   G|   Gaia2|      |0.782 |    |0.087 |     
2026 FO12  | ST26CB5| CCD|587 |    |2026-03-27T19:55:21.504Z|205.20204  |+23.53808  |      |      |       |   Gaia2|     |      |    |        |      |      |    |      |     
2026 FO12  | ST26CB5| CCD|587 |    |2026-03-27T20:03:23.616Z|205.20271  |+23.56903  |      |      |       |   Gaia2|19.8 |      |   G|        |      |      |    |      |     
2026 FO12  | ST26CB5| CCD|D66 |    |2026-03-27T20:54:01.440Z|205.20633  |+23.76344  |      |      |       |  ATLAS2|19.8 |      |   V|        |      |      |    |      |     
2026 FO12  | ST26CB5| CCD|D66 |    |2026-03-27T20:59:19.392Z|205.20629  |+23.784    |      |      |       |  ATLAS2|19.9 |      |   V|        |      |      |    |      |     
2026 FO12  | ST26CB5| CCD|D66 |    |2026-03-27T21:04:36.480Z|205.20637  |+23.80411  |      |      |       |  ATLAS2|19.7 |      |   V|        |      |      |    |      |     
2026 FO12  | ST26CB5| CMO|204 |  00|2026-03-29T21:18:00.500Z|205.50136  |+33.012312 |0.322 |0.317 |       |   Gaia3|20.5 |0.13  |   G|   Gaia3| 4.7  |0.97  |1612|0.15  |K    
2026 FO12  | ST26CB5| CMO|204 |  00|2026-03-29T21:52:33.700Z|205.501324 |+33.105146 |0.252 |0.244 |       |   Gaia3|     |      |    |        |      |1.04  |1612|0.09  |K    
