# version=2017
 permID|  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                             
     2I| gb00234| CCD|568 |       |    |          |          |          |  0T|2019-09-09T15:05:41.798Z|131.622517 |+30.663828 |     |      |       |   Gaia2|18.6 |      |   G|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|568 |       |    |          |          |          |  0T|2019-09-09T15:07:24.614Z|131.623071 |+30.663483 |     |      |       |   Gaia2|18.8 |      |   G|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|568 |       |    |          |          |          |  0T|2019-09-09T15:09:06.826Z|131.623667 |+30.663119 |     |      |       |   Gaia2|18.7 |      |   G|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|N55 |       |    |          |          |          |    |2019-09-09T23:03:10.656Z|131.77787  |+30.56275  |     |      |       |   UCAC4|18   |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|N55 |       |    |          |          |          |    |2019-09-09T23:11:54.240Z|131.78042  |+30.56119  |     |      |       |   UCAC4|17.8 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|N55 |       |    |          |          |          |    |2019-09-09T23:19:14.016Z|131.78308  |+30.55969  |     |      |       |   UCAC4|18.3 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|104 |       |    |          |          |          |    |2019-09-10T03:10:25.536Z|131.85821  |+30.51028  |     |      |       |   Gaia2|     |      |    |        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|104 |       |    |          |          |          |    |2019-09-10T03:28:35.040Z|131.86408  |+30.50642  |     |      |       |   Gaia2|17.9 |      |   G|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|104 |       |    |          |          |          |    |2019-09-10T03:36:22.464Z|131.8665   |+30.50478  |     |      |       |   Gaia2|17.9 |      |   G|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-09-10T08:59:19.392Z|131.97129  |+30.43667  |     |      |       |   UCAC4|17.1 |      |   V|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-09-10T09:20:16.512Z|131.97871  |+30.43172  |     |      |       |   UCAC4|17.2 |      |   V|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-09-10T09:41:16.224Z|131.98562  |+30.42733  |     |      |       |   UCAC4|18.2 |      |   V|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-09-10T10:02:10.752Z|131.99254  |+30.42283  |     |      |       |   UCAC4|17.9 |      |   V|        |      |      |    |      |K    |                                    
